C,class_weight,multi_class,penalty,mean_test_score,std_test_score,rank_test_score
0.1,"{0: 0.5, 1: 0.3, 2: 0.2}",auto,elasticnet,,,245
0.1,"{0: 0.5, 1: 0.3, 2: 0.2}",auto,,,,246
0.1,"{0: 0.5, 1: 0.3, 2: 0.2}",ovr,l1,,,247
0.1,"{0: 0.5, 1: 0.3, 2: 0.2}",ovr,l2,0.5619047619047619,0.02428104530282276,50
0.1,"{0: 0.5, 1: 0.3, 2: 0.2}",ovr,elasticnet,,,248
0.1,"{0: 0.5, 1: 0.3, 2: 0.2}",ovr,,,,249
0.1,"{0: 0.5, 1: 0.3, 2: 0.2}",multinomial,l1,,,250
0.1,"{0: 0.5, 1: 0.3, 2: 0.2}",multinomial,l2,0.6,0.04856209060564554,45
0.1,"{0: 0.5, 1: 0.3, 2: 0.2}",multinomial,elasticnet,,,226
0.1,"{0: 0.5, 1: 0.3, 2: 0.2}",multinomial,,,,225
1.0,balanced,auto,l1,,,224
1.0,balanced,auto,l2,0.619047619047619,0.08780518530755131,33
1.0,balanced,auto,elasticnet,,,223
1.0,balanced,auto,,,,200
1.0,balanced,ovr,l1,,,201
1.0,balanced,ovr,l2,0.619047619047619,0.08780518530755131,33
1.0,balanced,ovr,elasticnet,,,202
1.0,balanced,ovr,,,,203
1.0,balanced,multinomial,l1,,,204
1.0,balanced,multinomial,l2,0.6285714285714287,0.10056529562829944,7
1.0,balanced,multinomial,elasticnet,,,205
1.0,balanced,multinomial,,,,206
1.0,,auto,l1,,,207
1.0,,auto,l2,0.619047619047619,0.08780518530755131,33
1.0,,auto,elasticnet,,,208
1.0,,auto,,,,209
1.0,,ovr,l1,,,210
1.0,,ovr,l2,0.619047619047619,0.08780518530755131,33
1.0,,ovr,elasticnet,,,212
1.0,,ovr,,,,213
1.0,,multinomial,l1,,,214
1.0,,multinomial,l2,0.6285714285714287,0.10056529562829944,7
1.0,,multinomial,elasticnet,,,215
1.0,,multinomial,,,,216
1.0,"{0: 0.5, 1: 0.3, 2: 0.2}",auto,l1,,,217
1.0,"{0: 0.5, 1: 0.3, 2: 0.2}",auto,l2,0.6238095238095239,0.055123032870429634,17
1.0,"{0: 0.5, 1: 0.3, 2: 0.2}",auto,elasticnet,,,218
1.0,"{0: 0.5, 1: 0.3, 2: 0.2}",auto,,,,219
1.0,"{0: 0.5, 1: 0.3, 2: 0.2}",ovr,l1,,,220
1.0,"{0: 0.5, 1: 0.3, 2: 0.2}",ovr,l2,0.6238095238095239,0.055123032870429634,17
1.0,"{0: 0.5, 1: 0.3, 2: 0.2}",ovr,elasticnet,,,221
1.0,"{0: 0.5, 1: 0.3, 2: 0.2}",ovr,,,,222
1.0,"{0: 0.5, 1: 0.3, 2: 0.2}",multinomial,l1,,,145
1.0,"{0: 0.5, 1: 0.3, 2: 0.2}",multinomial,l2,0.6285714285714287,0.049026810195176206,7
1.0,"{0: 0.5, 1: 0.3, 2: 0.2}",multinomial,elasticnet,,,238
1.0,"{0: 0.5, 1: 0.3, 2: 0.2}",multinomial,,,,143
10.0,balanced,auto,l1,,,75
10.0,balanced,auto,l2,0.6238095238095239,0.08164965809277261,17
10.0,balanced,auto,elasticnet,,,71
10.0,balanced,auto,,,,87
10.0,balanced,ovr,l1,,,86
10.0,balanced,ovr,l2,0.6238095238095239,0.08164965809277261,17
10.0,balanced,ovr,elasticnet,,,69
10.0,balanced,ovr,,,,82
10.0,balanced,multinomial,l1,,,84
10.0,balanced,multinomial,l2,0.6142857142857142,0.09331389496316869,37
10.0,balanced,multinomial,elasticnet,,,88
10.0,balanced,multinomial,,,,89
10.0,,auto,l1,,,90
10.0,,auto,l2,0.6238095238095239,0.08164965809277261,17
10.0,,auto,elasticnet,,,92
10.0,,auto,,,,93
10.0,,ovr,l1,,,94
10.0,,ovr,l2,0.6238095238095239,0.08164965809277261,17
10.0,,ovr,elasticnet,,,96
10.0,,ovr,,,,80
10.0,,multinomial,l1,,,97
10.0,,multinomial,l2,0.6142857142857142,0.09331389496316869,37
10.0,,multinomial,elasticnet,,,66
10.0,,multinomial,,,,64
10.0,"{0: 0.5, 1: 0.3, 2: 0.2}",auto,l1,,,65
10.0,"{0: 0.5, 1: 0.3, 2: 0.2}",auto,l2,0.6333333333333334,0.061352851079643445,1
10.0,"{0: 0.5, 1: 0.3, 2: 0.2}",auto,elasticnet,,,78
10.0,"{0: 0.5, 1: 0.3, 2: 0.2}",auto,,,,70
10.0,"{0: 0.5, 1: 0.3, 2: 0.2}",ovr,l1,,,72
10.0,"{0: 0.5, 1: 0.3, 2: 0.2}",ovr,l2,0.6333333333333334,0.061352851079643445,1
10.0,"{0: 0.5, 1: 0.3, 2: 0.2}",ovr,elasticnet,,,74
10.0,"{0: 0.5, 1: 0.3, 2: 0.2}",ovr,,,,76
10.0,"{0: 0.5, 1: 0.3, 2: 0.2}",multinomial,l1,,,77
10.0,"{0: 0.5, 1: 0.3, 2: 0.2}",multinomial,l2,0.6238095238095239,0.053026327265047815,17
10.0,"{0: 0.5, 1: 0.3, 2: 0.2}",multinomial,elasticnet,,,142
10.0,"{0: 0.5, 1: 0.3, 2: 0.2}",multinomial,,,,100
100.0,balanced,auto,l1,,,123
100.0,balanced,auto,l2,0.6238095238095237,0.0957131011535323,29
100.0,balanced,auto,elasticnet,,,125
100.0,balanced,auto,,,,126
100.0,balanced,ovr,l1,,,128
100.0,balanced,ovr,l2,0.6238095238095237,0.0957131011535323,29
100.0,balanced,ovr,elasticnet,,,129
100.0,balanced,ovr,,,,131
100.0,balanced,multinomial,l1,,,132
100.0,balanced,multinomial,l2,0.6095238095238095,0.08192690730516787,41
100.0,balanced,multinomial,elasticnet,,,134
100.0,balanced,multinomial,,,,135
100.0,,auto,l1,,,136
100.0,,auto,l2,0.6238095238095237,0.0957131011535323,29
100.0,,auto,elasticnet,,,138
100.0,,auto,,,,139
100.0,,ovr,l1,,,141
100.0,,ovr,l2,0.6238095238095237,0.0957131011535323,29
100.0,,ovr,elasticnet,,,122
100.0,,ovr,,,,121
