criterion,max_depth,max_features,min_samples_leaf,min_samples_split,splitter,mean_test_score,std_test_score,rank_test_score
gini,1,,5,10,random,0.5285714285714285,0.043643578047198484,497
gini,1,,5,100,best,0.6666666666666666,0.09988655696858585,193
gini,1,,5,100,random,0.5285714285714285,0.043643578047198484,497
gini,1,,10,2,best,0.6666666666666666,0.09988655696858585,193
gini,1,,10,2,random,0.5285714285714285,0.043643578047198484,497
gini,1,,10,5,best,0.6666666666666666,0.09988655696858585,193
gini,1,,10,5,random,0.5285714285714285,0.043643578047198484,497
gini,1,,10,10,best,0.6666666666666666,0.09988655696858585,193
gini,1,,10,10,random,0.5285714285714285,0.043643578047198484,497
gini,1,,10,100,best,0.6666666666666666,0.09988655696858585,193
gini,1,,10,100,random,0.5285714285714285,0.043643578047198484,497
gini,1,,50,2,best,0.6904761904761905,0.11065666703449761,104
gini,1,,50,2,random,0.5047619047619047,0.009523809523809533,597
gini,1,,50,5,best,0.6904761904761905,0.11065666703449761,104
gini,1,,50,5,random,0.5047619047619047,0.009523809523809533,597
gini,1,,50,10,best,0.6904761904761905,0.11065666703449761,104
gini,1,,50,10,random,0.5047619047619047,0.009523809523809533,597
gini,1,,50,100,best,0.6904761904761905,0.11065666703449761,104
gini,1,,50,100,random,0.5047619047619047,0.009523809523809533,597
gini,1,,100,2,best,0.5,0.0,637
gini,1,,100,2,random,0.5,0.0,637
gini,1,,100,5,best,0.5,0.0,637
gini,1,,100,5,random,0.5,0.0,637
gini,1,,100,10,best,0.5,0.0,637
gini,1,,100,10,random,0.5,0.0,637
gini,1,,100,100,best,0.5,0.0,637
gini,1,,100,100,random,0.5,0.0,637
gini,10,sqrt,1,2,best,0.6,0.07284313590846835,404
gini,10,sqrt,1,2,random,0.6380952380952382,0.0645936188869073,258
gini,10,sqrt,1,5,best,0.6571428571428571,0.05345224838248489,227
gini,10,sqrt,1,5,random,0.580952380952381,0.044160088073789044,475
gini,10,sqrt,1,10,best,0.619047619047619,0.10323563518418476,360
gini,10,sqrt,1,10,random,0.6047619047619048,0.038685897164933127,397
gini,10,sqrt,1,100,best,0.7095238095238094,0.09689042833036098,19
gini,10,sqrt,1,100,random,0.5523809523809524,0.06632565846278154,477
gini,10,sqrt,5,2,best,0.619047619047619,0.12598815766974242,360
gini,10,sqrt,5,2,random,0.5095238095238095,0.019047619047619067,561
gini,10,sqrt,5,5,best,0.619047619047619,0.12598815766974242,360
gini,10,sqrt,5,5,random,0.5095238095238095,0.019047619047619067,561
gini,10,sqrt,5,10,best,0.619047619047619,0.12598815766974242,360
gini,10,sqrt,5,10,random,0.5095238095238095,0.019047619047619067,561
gini,10,sqrt,5,100,best,0.7095238095238094,0.09689042833036098,19
gini,10,sqrt,5,100,random,0.5,0.0,637
gini,10,sqrt,10,2,best,0.6904761904761906,0.07824607964359517,86
gini,10,sqrt,10,2,random,0.5238095238095238,0.04761904761904762,513
gini,10,sqrt,10,5,best,0.6904761904761906,0.07824607964359517,86
gini,10,sqrt,10,5,random,0.5238095238095238,0.04761904761904762,513
gini,10,sqrt,10,10,best,0.6904761904761906,0.07824607964359517,86
gini,10,sqrt,10,10,random,0.5238095238095238,0.04761904761904762,513
gini,10,sqrt,10,100,best,0.7095238095238094,0.09689042833036098,19
gini,10,sqrt,10,100,random,0.5190476190476191,0.03809523809523809,549
gini,10,sqrt,50,2,best,0.5857142857142856,0.08464947064110086,427
gini,10,sqrt,50,2,random,0.5,0.0,637
gini,10,sqrt,50,5,best,0.5857142857142856,0.08464947064110086,427
gini,10,sqrt,50,5,random,0.5,0.0,637
gini,10,sqrt,50,10,best,0.5857142857142856,0.08464947064110086,427
gini,10,sqrt,50,10,random,0.5,0.0,637
gini,10,sqrt,50,100,best,0.5857142857142856,0.08464947064110086,427
gini,10,sqrt,50,100,random,0.5,0.0,637
gini,10,sqrt,100,2,best,0.5,0.0,637
gini,10,sqrt,100,2,random,0.5,0.0,637
gini,10,sqrt,100,5,best,0.5,0.0,637
gini,10,sqrt,100,5,random,0.5,0.0,637
gini,10,sqrt,100,10,best,0.5,0.0,637
gini,10,sqrt,100,10,random,0.5,0.0,637
gini,10,sqrt,100,100,best,0.5,0.0,637
gini,10,sqrt,100,100,random,0.5,0.0,637
gini,10,log2,1,2,best,0.6,0.07284313590846835,404
gini,10,log2,1,2,random,0.6380952380952382,0.0645936188869073,258
gini,10,log2,1,5,best,0.6571428571428571,0.05345224838248489,227
gini,10,log2,1,5,random,0.580952380952381,0.044160088073789044,475
gini,10,log2,1,10,best,0.619047619047619,0.10323563518418476,360
gini,10,log2,1,10,random,0.6047619047619048,0.038685897164933127,397
gini,10,log2,1,100,best,0.7095238095238094,0.09689042833036098,19
gini,10,log2,1,100,random,0.5523809523809524,0.06632565846278154,477
gini,10,log2,5,2,best,0.619047619047619,0.12598815766974242,360
gini,10,log2,5,2,random,0.5095238095238095,0.019047619047619067,561
gini,10,log2,5,5,best,0.619047619047619,0.12598815766974242,360
gini,10,log2,5,5,random,0.5095238095238095,0.019047619047619067,561
