algorithm,leaf_size,metric,n_neighbors,p,weights,mean_test_score,std_test_score,rank_test_score
auto,10,euclidean,1,5,uniform,0.6428571428571428,0.06388765649999398,2698
auto,10,euclidean,1,5,distance,0.6428571428571428,0.06388765649999398,2698
auto,10,euclidean,2,1,uniform,0.561904761904762,0.059476171413318075,7063
auto,10,euclidean,2,1,distance,0.638095238095238,0.0628138378965377,3042
auto,10,euclidean,2,2,uniform,0.561904761904762,0.059476171413318075,7063
auto,10,euclidean,2,2,distance,0.638095238095238,0.0628138378965377,3042
auto,10,euclidean,2,3,uniform,0.561904761904762,0.059476171413318075,7063
auto,10,euclidean,2,3,distance,0.638095238095238,0.0628138378965377,3042
auto,10,euclidean,2,4,uniform,0.561904761904762,0.059476171413318075,7063
auto,10,euclidean,2,4,distance,0.638095238095238,0.0628138378965377,3042
auto,10,euclidean,2,5,uniform,0.561904761904762,0.059476171413318075,7063
auto,10,euclidean,2,5,distance,0.638095238095238,0.0628138378965377,3042
auto,10,euclidean,3,1,uniform,0.6476190476190475,0.02776643759450141,2302
auto,10,euclidean,3,1,distance,0.6523809523809524,0.041513323271815936,1116
auto,10,euclidean,3,2,uniform,0.6476190476190475,0.02776643759450141,2302
auto,10,euclidean,3,2,distance,0.6523809523809524,0.041513323271815936,1116
auto,10,euclidean,3,3,uniform,0.6476190476190475,0.02776643759450141,2302
auto,10,euclidean,3,3,distance,0.6523809523809524,0.041513323271815936,1116
auto,10,euclidean,3,4,uniform,0.6476190476190475,0.02776643759450141,2302
auto,10,euclidean,3,4,distance,0.6523809523809524,0.041513323271815936,1116
auto,10,euclidean,3,5,uniform,0.6476190476190475,0.02776643759450141,2302
auto,10,euclidean,3,5,distance,0.6523809523809524,0.041513323271815936,1116
auto,10,euclidean,4,1,uniform,0.6047619047619048,0.04416008807378908,6015
auto,10,euclidean,4,1,distance,0.6476190476190476,0.040963453652583935,1867
auto,10,euclidean,4,2,uniform,0.6047619047619048,0.04416008807378908,6015
auto,10,euclidean,4,2,distance,0.6476190476190476,0.040963453652583935,1867
auto,10,euclidean,4,3,uniform,0.6047619047619048,0.04416008807378908,6015
auto,10,euclidean,4,3,distance,0.6476190476190476,0.040963453652583935,1867
auto,10,euclidean,4,4,uniform,0.6047619047619048,0.04416008807378908,6015
auto,10,euclidean,4,4,distance,0.6476190476190476,0.040963453652583935,1867
auto,10,euclidean,4,5,uniform,0.6047619047619048,0.04416008807378908,6015
auto,10,euclidean,4,5,distance,0.6476190476190476,0.040963453652583935,1867
auto,10,euclidean,5,1,uniform,0.6142857142857142,0.038095238095238106,5455
auto,10,euclidean,5,1,distance,0.638095238095238,0.0645936188869073,3042
auto,10,euclidean,5,2,uniform,0.6142857142857142,0.038095238095238106,5455
auto,10,euclidean,5,2,distance,0.638095238095238,0.0645936188869073,3042
auto,10,euclidean,5,3,uniform,0.6142857142857142,0.038095238095238106,5455
auto,10,euclidean,5,3,distance,0.638095238095238,0.0645936188869073,3042
auto,10,euclidean,5,4,uniform,0.6142857142857142,0.038095238095238106,5455
auto,10,euclidean,5,4,distance,0.638095238095238,0.0645936188869073,3042
auto,10,euclidean,5,5,uniform,0.6142857142857142,0.038095238095238106,5455
auto,10,euclidean,5,5,distance,0.638095238095238,0.0645936188869073,3042
auto,10,euclidean,6,1,uniform,0.6095238095238096,0.07158712561129954,5723
auto,10,euclidean,6,1,distance,0.6523809523809524,0.049026810195176206,1116
auto,10,euclidean,6,2,uniform,0.6095238095238096,0.07158712561129954,5723
auto,10,euclidean,6,2,distance,0.6523809523809524,0.049026810195176206,1116
auto,10,euclidean,6,3,uniform,0.6095238095238096,0.07158712561129954,5723
auto,10,euclidean,6,3,distance,0.6523809523809524,0.049026810195176206,1116
auto,10,euclidean,6,4,uniform,0.6095238095238096,0.07158712561129954,5723
auto,10,euclidean,6,4,distance,0.6523809523809524,0.049026810195176206,1116
auto,10,euclidean,6,5,uniform,0.6095238095238096,0.07158712561129954,5723
auto,10,euclidean,6,5,distance,0.6523809523809524,0.049026810195176206,1116
auto,10,euclidean,7,1,uniform,0.6523809523809524,0.06317380553057904,1116
auto,10,euclidean,7,1,distance,0.6714285714285714,0.055123032870429634,87
auto,10,euclidean,7,2,uniform,0.6523809523809524,0.06317380553057904,1116
auto,10,euclidean,7,2,distance,0.6714285714285714,0.055123032870429634,87
auto,10,euclidean,7,3,uniform,0.6523809523809524,0.06317380553057904,1116
auto,10,euclidean,7,3,distance,0.6714285714285714,0.055123032870429634,87
auto,10,euclidean,7,4,uniform,0.6523809523809524,0.06317380553057904,1116
auto,10,euclidean,7,4,distance,0.6714285714285714,0.055123032870429634,87
auto,10,euclidean,7,5,uniform,0.6523809523809524,0.06317380553057904,1116
auto,10,euclidean,7,5,distance,0.6714285714285714,0.055123032870429634,87
auto,10,euclidean,8,1,uniform,0.6523809523809525,0.06998542122237654,936
auto,10,euclidean,8,1,distance,0.6523809523809524,0.0534522483824849,1116
auto,10,euclidean,8,2,uniform,0.6523809523809525,0.06998542122237654,936
auto,10,euclidean,8,2,distance,0.6523809523809524,0.0534522483824849,1116
auto,10,euclidean,8,3,uniform,0.6523809523809525,0.06998542122237654,936
auto,10,euclidean,8,3,distance,0.6523809523809524,0.0534522483824849,1116
auto,10,euclidean,8,4,uniform,0.6523809523809525,0.06998542122237654,936
auto,10,euclidean,8,4,distance,0.6523809523809524,0.0534522483824849,1116
auto,10,euclidean,8,5,uniform,0.6523809523809525,0.06998542122237654,936
auto,10,euclidean,8,5,distance,0.6523809523809524,0.0534522483824849,1116
auto,10,euclidean,9,1,uniform,0.6428571428571429,0.06023386019368344,2431
auto,10,euclidean,9,1,distance,0.6666666666666666,0.062087641954310935,267
auto,10,euclidean,9,2,uniform,0.6428571428571429,0.06023386019368344,2431
auto,10,euclidean,9,2,distance,0.6666666666666666,0.062087641954310935,267
auto,10,euclidean,9,3,uniform,0.6428571428571429,0.06023386019368344,2431
auto,10,euclidean,9,3,distance,0.6666666666666666,0.062087641954310935,267
auto,10,euclidean,9,4,uniform,0.6428571428571429,0.06023386019368344,2431
auto,10,euclidean,9,4,distance,0.6666666666666666,0.062087641954310935,267
auto,10,euclidean,9,5,uniform,0.6428571428571429,0.06023386019368344,2431
auto,10,euclidean,9,5,distance,0.6666666666666666,0.062087641954310935,267
auto,10,manhattan,1,1,uniform,0.6238095238095238,0.08438116736509216,4523
auto,10,manhattan,1,1,distance,0.6238095238095238,0.08438116736509216,4523
auto,10,manhattan,1,2,uniform,0.6238095238095238,0.08438116736509216,4523
auto,10,manhattan,1,2,distance,0.6238095238095238,0.08438116736509216,4523
auto,10,manhattan,1,3,uniform,0.6238095238095238,0.08438116736509216,4523
auto,10,manhattan,1,3,distance,0.6238095238095238,0.08438116736509216,4523
auto,10,manhattan,1,4,uniform,0.6238095238095238,0.08438116736509216,4523
auto,10,manhattan,1,4,distance,0.6238095238095238,0.08438116736509216,4523
auto,10,manhattan,1,5,uniform,0.6238095238095238,0.08438116736509216,4523
auto,10,manhattan,1,5,distance,0.6238095238095238,0.08438116736509216,4523
auto,10,manhattan,2,1,uniform,0.5571428571428573,0.06317380553057905,7128
auto,10,manhattan,2,1,distance,0.6238095238095238,0.08438116736509216,4523
auto,10,manhattan,2,2,uniform,0.5571428571428573,0.06317380553057905,7128
auto,10,manhattan,2,2,distance,0.6238095238095238,0.08438116736509216,4523
auto,10,manhattan,2,3,uniform,0.5571428571428573,0.06317380553057905,7128
auto,10,manhattan,2,3,distance,0.6238095238095238,0.08438116736509216,4523
auto,10,manhattan,2,4,uniform,0.5571428571428573,0.06317380553057905,7128
auto,10,manhattan,2,4,distance,0.6238095238095238,0.08438116736509216,4523
auto,10,manhattan,2,5,uniform,0.5571428571428573,0.06317380553057905,7128
auto,10,manhattan,2,5,distance,0.6238095238095238,0.08438116736509216,4523
auto,10,manhattan,3,1,uniform,0.6428571428571428,0.02129588549999797,2698
auto,10,manhattan,3,1,distance,0.6571428571428571,0.03563483225498991,712
auto,10,manhattan,3,2,uniform,0.6428571428571428,0.02129588549999797,2698
auto,10,manhattan,3,2,distance,0.6571428571428571,0.03563483225498991,712
auto,10,manhattan,3,3,uniform,0.6428571428571428,0.02129588549999797,2698
auto,10,manhattan,3,3,distance,0.6571428571428571,0.03563483225498991,712
auto,10,manhattan,3,4,uniform,0.6428571428571428,0.02129588549999797,2698
auto,10,manhattan,3,4,distance,0.6571428571428571,0.03563483225498991,712
auto,10,manhattan,3,5,uniform,0.6428571428571428,0.02129588549999797,2698
auto,10,manhattan,3,5,distance,0.6571428571428571,0.03563483225498991,712
auto,10,manhattan,4,1,uniform,0.6,0.05302632726504784,6311
auto,10,manhattan,4,1,distance,0.6619047619047619,0.02776643759450141,537
auto,10,manhattan,4,2,uniform,0.6,0.05302632726504784,6311
auto,10,manhattan,4,2,distance,0.6619047619047619,0.02776643759450141,537
auto,10,manhattan,4,3,uniform,0.6,0.05302632726504784,6311
auto,10,manhattan,4,3,distance,0.6619047619047619,0.02776643759450141,537
auto,10,manhattan,4,4,uniform,0.6,0.05302632726504784,6311
auto,10,manhattan,4,4,distance,0.6619047619047619,0.02776643759450141,537
auto,10,manhattan,4,5,uniform,0.6,0.05302632726504784,6311
auto,10,manhattan,4,5,distance,0.6619047619047619,0.02776643759450141,537
auto,10,manhattan,5,1,uniform,0.6476190476190478,0.08832017614757812,1783
auto,10,manhattan,5,1,distance,0.6523809523809525,0.06494372236659934,936
auto,10,manhattan,5,2,uniform,0.6476190476190478,0.08832017614757812,1783
auto,10,manhattan,5,2,distance,0.6523809523809525,0.06494372236659934,936
auto,10,manhattan,5,3,uniform,0.6476190476190478,0.08832017614757812,1783
auto,10,manhattan,5,3,distance,0.6523809523809525,0.06494372236659934,936
auto,10,manhattan,5,4,uniform,0.6476190476190478,0.08832017614757812,1783
auto,10,manhattan,5,4,distance,0.6523809523809525,0.06494372236659934,936
auto,10,manhattan,5,5,uniform,0.6476190476190478,0.08832017614757812,1783
auto,10,manhattan,5,5,distance,0.6523809523809525,0.06494372236659934,936
auto,10,manhattan,6,1,uniform,0.619047619047619,0.08247860988423225,5246
auto,10,manhattan,6,1,distance,0.661904761904762,0.05512303287042966,423
auto,10,manhattan,6,2,uniform,0.619047619047619,0.08247860988423225,5246
auto,10,manhattan,6,2,distance,0.661904761904762,0.05512303287042966,423
auto,10,manhattan,6,3,uniform,0.619047619047619,0.08247860988423225,5246
auto,10,manhattan,6,3,distance,0.661904761904762,0.05512303287042966,423
auto,10,manhattan,6,4,uniform,0.619047619047619,0.08247860988423225,5246
auto,10,manhattan,6,4,distance,0.661904761904762,0.05512303287042966,423
auto,10,manhattan,6,5,uniform,0.619047619047619,0.08247860988423225,5246
auto,10,manhattan,6,5,distance,0.661904761904762,0.05512303287042966,423
auto,10,manhattan,7,1,uniform,0.6238095238095239,0.055123032870429634,4368
auto,10,manhattan,7,1,distance,0.6476190476190476,0.038095238095238085,1867
auto,10,manhattan,7,2,uniform,0.6238095238095239,0.055123032870429634,4368
auto,10,manhattan,7,2,distance,0.6476190476190476,0.038095238095238085,1867
auto,10,manhattan,7,3,uniform,0.6238095238095239,0.055123032870429634,4368
auto,10,manhattan,7,3,distance,0.6476190476190476,0.038095238095238085,1867
auto,10,manhattan,7,4,uniform,0.6238095238095239,0.055123032870429634,4368
auto,10,manhattan,7,4,distance,0.6476190476190476,0.038095238095238085,1867
auto,10,manhattan,7,5,uniform,0.6238095238095239,0.055123032870429634,4368
auto,10,manhattan,7,5,distance,0.6476190476190476,0.038095238095238085,1867
auto,10,manhattan,8,1,uniform,0.6238095238095237,0.07438333024673005,4935
auto,10,manhattan,8,1,distance,0.6476190476190476,0.0380952380952381,1867
auto,10,manhattan,8,2,uniform,0.6238095238095237,0.07438333024673005,4935
auto,10,manhattan,8,2,distance,0.6476190476190476,0.0380952380952381,1867
auto,10,manhattan,8,3,uniform,0.6238095238095237,0.07438333024673005,4935
auto,10,manhattan,8,3,distance,0.6476190476190476,0.0380952380952381,1867
auto,10,manhattan,8,4,uniform,0.6238095238095237,0.07438333024673005,4935
auto,10,manhattan,8,4,distance,0.6476190476190476,0.0380952380952381,1867
auto,10,manhattan,8,5,uniform,0.6238095238095237,0.07438333024673005,4935
auto,10,manhattan,8,5,distance,0.6476190476190476,0.0380952380952381,1867
auto,10,manhattan,9,1,uniform,0.6333333333333333,0.05345224838248486,3596
auto,10,manhattan,9,1,distance,0.6333333333333334,0.03563483225498992,3416
auto,10,manhattan,9,2,uniform,0.6333333333333333,0.05345224838248486,3596
auto,10,manhattan,9,2,distance,0.6333333333333334,0.03563483225498992,3416
auto,10,manhattan,9,3,uniform,0.6333333333333333,0.05345224838248486,3596
auto,10,manhattan,9,3,distance,0.6333333333333334,0.03563483225498992,3416
auto,10,manhattan,9,4,uniform,0.6333333333333333,0.05345224838248486,3596
auto,10,manhattan,9,4,distance,0.6333333333333334,0.03563483225498992,3416
auto,10,manhattan,9,5,uniform,0.6333333333333333,0.05345224838248486,3596
auto,10,manhattan,9,5,distance,0.6333333333333334,0.03563483225498992,3416
auto,10,chebyshev,1,1,uniform,0.5952380952380952,0.0656383273909058,6368
auto,10,chebyshev,1,1,distance,0.5952380952380952,0.0656383273909058,6368
auto,10,chebyshev,1,2,uniform,0.5952380952380952,0.0656383273909058,6368
auto,10,chebyshev,1,2,distance,0.5952380952380952,0.0656383273909058,6368
auto,10,chebyshev,1,3,uniform,0.5952380952380952,0.0656383273909058,6368
auto,10,chebyshev,1,3,distance,0.5952380952380952,0.0656383273909058,6368
auto,10,chebyshev,1,4,uniform,0.5952380952380952,0.0656383273909058,6368
auto,10,chebyshev,1,4,distance,0.5952380952380952,0.0656383273909058,6368
auto,10,chebyshev,1,5,uniform,0.5952380952380952,0.0656383273909058,6368
auto,10,chebyshev,1,5,distance,0.5952380952380952,0.0656383273909058,6368
auto,10,chebyshev,2,1,uniform,0.5714285714285715,0.06563832739090583,6796
auto,10,chebyshev,2,1,distance,0.5761904761904761,0.07438333024673005,6771
auto,10,chebyshev,2,2,uniform,0.5714285714285715,0.06563832739090583,6796
auto,10,chebyshev,2,2,distance,0.5761904761904761,0.07438333024673005,6771
auto,10,chebyshev,2,3,uniform,0.5714285714285715,0.06563832739090583,6796
auto,10,chebyshev,2,3,distance,0.5761904761904761,0.07438333024673005,6771
auto,10,chebyshev,2,4,uniform,0.5714285714285715,0.06563832739090583,6796
auto,10,chebyshev,2,4,distance,0.5761904761904761,0.07438333024673005,6771
auto,10,chebyshev,2,5,uniform,0.5714285714285715,0.06563832739090583,6796
auto,10,chebyshev,2,5,distance,0.5761904761904761,0.07438333024673005,6771
auto,10,chebyshev,3,1,uniform,0.6047619047619048,0.06135285107964345,6015
auto,10,chebyshev,3,1,distance,0.6,0.07737179432986631,6311
auto,10,chebyshev,3,2,uniform,0.6047619047619048,0.06135285107964345,6015
auto,10,chebyshev,3,2,distance,0.6,0.07737179432986631,6311
auto,10,chebyshev,3,3,uniform,0.6047619047619048,0.06135285107964345,6015
auto,10,chebyshev,3,3,distance,0.6,0.07737179432986631,6311
auto,10,chebyshev,3,4,uniform,0.6047619047619048,0.06135285107964345,6015
auto,10,chebyshev,3,4,distance,0.6,0.07737179432986631,6311
auto,10,chebyshev,3,5,uniform,0.6047619047619048,0.06135285107964345,6015
auto,10,chebyshev,3,5,distance,0.6,0.07737179432986631,6311
auto,10,chebyshev,4,1,uniform,0.6095238095238095,0.035634832254989916,5853
auto,10,chebyshev,4,1,distance,0.6095238095238096,0.11428571428571428,5723
auto,10,chebyshev,4,2,uniform,0.6095238095238095,0.035634832254989916,5853
auto,10,chebyshev,4,2,distance,0.6095238095238096,0.11428571428571428,5723
auto,10,chebyshev,4,3,uniform,0.6095238095238095,0.035634832254989916,5853
auto,10,chebyshev,4,3,distance,0.6095238095238096,0.11428571428571428,5723
auto,10,chebyshev,4,4,uniform,0.6095238095238095,0.035634832254989916,5853
auto,10,chebyshev,4,4,distance,0.6095238095238096,0.11428571428571428,5723
auto,10,chebyshev,4,5,uniform,0.6095238095238095,0.035634832254989916,5853
auto,10,chebyshev,4,5,distance,0.6095238095238096,0.11428571428571428,5723
auto,10,chebyshev,5,1,uniform,0.6047619047619047,0.03229680944345365,6145
auto,10,chebyshev,5,1,distance,0.6190476190476191,0.07377111135633177,5205
auto,10,chebyshev,5,2,uniform,0.6047619047619047,0.03229680944345365,6145
auto,10,chebyshev,5,2,distance,0.6190476190476191,0.07377111135633177,5205
auto,10,chebyshev,5,3,uniform,0.6047619047619047,0.03229680944345365,6145
auto,10,chebyshev,5,3,distance,0.6190476190476191,0.07377111135633177,5205
auto,10,chebyshev,5,4,uniform,0.6047619047619047,0.03229680944345365,6145
auto,10,chebyshev,5,4,distance,0.6190476190476191,0.07377111135633177,5205
auto,10,chebyshev,5,5,uniform,0.6047619047619047,0.03229680944345365,6145
auto,10,chebyshev,5,5,distance,0.6190476190476191,0.07377111135633177,5205
auto,10,chebyshev,6,1,uniform,0.619047619047619,0.0542940678618637,5246
auto,10,chebyshev,6,1,distance,0.6333333333333333,0.06135285107964345,3596
auto,10,chebyshev,6,2,uniform,0.619047619047619,0.0542940678618637,5246
auto,10,chebyshev,6,2,distance,0.6333333333333333,0.06135285107964345,3596
auto,10,chebyshev,6,3,uniform,0.619047619047619,0.0542940678618637,5246
auto,10,chebyshev,6,3,distance,0.6333333333333333,0.06135285107964345,3596
auto,10,chebyshev,6,4,uniform,0.619047619047619,0.0542940678618637,5246
auto,10,chebyshev,6,4,distance,0.6333333333333333,0.06135285107964345,3596
auto,10,chebyshev,6,5,uniform,0.619047619047619,0.0542940678618637,5246
auto,10,chebyshev,6,5,distance,0.6333333333333333,0.06135285107964345,3596
auto,10,chebyshev,7,1,uniform,0.6380952380952382,0.055123032870429654,2932
auto,10,chebyshev,7,1,distance,0.6285714285714286,0.061352851079643445,4054
auto,10,chebyshev,7,2,uniform,0.6380952380952382,0.055123032870429654,2932
auto,10,chebyshev,7,2,distance,0.6285714285714286,0.061352851079643445,4054
auto,10,chebyshev,7,3,uniform,0.6380952380952382,0.055123032870429654,2932
auto,10,chebyshev,7,3,distance,0.6285714285714286,0.061352851079643445,4054
auto,10,chebyshev,7,4,uniform,0.6380952380952382,0.055123032870429654,2932
auto,10,chebyshev,7,4,distance,0.6285714285714286,0.061352851079643445,4054
auto,10,chebyshev,7,5,uniform,0.6380952380952382,0.055123032870429654,2932
auto,10,chebyshev,7,5,distance,0.6285714285714286,0.061352851079643445,4054
auto,10,chebyshev,8,1,uniform,0.6380952380952382,0.06281383789653772,2932
auto,10,chebyshev,8,1,distance,0.6380952380952382,0.059093684028527875,2932
auto,10,chebyshev,8,2,uniform,0.6380952380952382,0.06281383789653772,2932
auto,10,chebyshev,8,2,distance,0.6380952380952382,0.059093684028527875,2932
auto,10,chebyshev,8,3,uniform,0.6380952380952382,0.06281383789653772,2932
auto,10,chebyshev,8,3,distance,0.6380952380952382,0.059093684028527875,2932
auto,10,chebyshev,8,4,uniform,0.6380952380952382,0.06281383789653772,2932
auto,10,chebyshev,8,4,distance,0.6380952380952382,0.059093684028527875,2932
auto,10,chebyshev,8,5,uniform,0.6380952380952382,0.06281383789653772,2932
auto,10,chebyshev,8,5,distance,0.6380952380952382,0.059093684028527875,2932
auto,10,chebyshev,9,1,uniform,0.6285714285714286,0.08597842897746565,4054
auto,10,chebyshev,9,1,distance,0.6523809523809524,0.0649437223665993,1116
auto,10,chebyshev,9,2,uniform,0.6285714285714286,0.08597842897746565,4054
auto,10,chebyshev,9,2,distance,0.6523809523809524,0.0649437223665993,1116
auto,10,chebyshev,9,3,uniform,0.6285714285714286,0.08597842897746565,4054
auto,10,chebyshev,9,3,distance,0.6523809523809524,0.0649437223665993,1116
auto,10,chebyshev,9,4,uniform,0.6285714285714286,0.08597842897746565,4054
auto,10,chebyshev,9,4,distance,0.6523809523809524,0.0649437223665993,1116
auto,10,chebyshev,9,5,uniform,0.6285714285714286,0.08597842897746565,4054
auto,10,chebyshev,9,5,distance,0.6523809523809524,0.0649437223665993,1116
auto,20,minkowski,1,1,uniform,0.619047619047619,0.07824607964359517,5246
auto,20,minkowski,1,1,distance,0.619047619047619,0.07824607964359517,5246
