criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,mean_test_score,std_test_score,rank_test_score
gini,1,sqrt,2,100,100,0.7047619047619047,0.08597842897746565,643
gini,1,sqrt,5,2,1,0.5095238095238095,0.03563483225498992,3185
gini,1,sqrt,5,2,5,0.7047619047619047,0.08728715609439694,643
gini,1,sqrt,5,2,10,0.6904761904761905,0.10432810619146018,1246
gini,1,sqrt,5,2,25,0.7142857142857143,0.085183541999992,164
gini,1,sqrt,5,2,50,0.7142857142857143,0.09404008408634044,164
gini,1,sqrt,5,2,75,0.7095238095238094,0.09571310115353227,414
gini,1,sqrt,5,2,100,0.7095238095238094,0.0883201761475781,414
gini,1,sqrt,5,5,1,0.5095238095238095,0.03563483225498992,3185
gini,1,sqrt,5,5,5,0.7047619047619047,0.08728715609439694,643
gini,1,sqrt,5,5,10,0.6904761904761905,0.10432810619146018,1246
gini,1,sqrt,5,5,25,0.7142857142857143,0.085183541999992,164
gini,1,sqrt,5,5,50,0.7142857142857143,0.09404008408634044,164
gini,1,sqrt,5,5,75,0.7095238095238094,0.09571310115353227,414
gini,1,sqrt,5,5,100,0.7095238095238094,0.0883201761475781,414
gini,1,sqrt,5,10,1,0.5095238095238095,0.03563483225498992,3185
gini,1,sqrt,5,10,5,0.7047619047619047,0.08728715609439694,643
gini,1,sqrt,5,10,10,0.6904761904761905,0.10432810619146018,1246
gini,1,sqrt,5,10,25,0.7142857142857143,0.085183541999992,164
gini,1,sqrt,5,10,50,0.7142857142857143,0.09404008408634044,164
gini,1,sqrt,5,10,75,0.7095238095238094,0.09571310115353227,414
gini,1,sqrt,5,10,100,0.7095238095238094,0.0883201761475781,414
gini,1,sqrt,5,100,1,0.5095238095238095,0.03563483225498992,3185
gini,1,sqrt,5,100,5,0.7047619047619047,0.08728715609439694,643
gini,1,sqrt,5,100,10,0.6904761904761905,0.10432810619146018,1246
gini,1,sqrt,5,100,25,0.7142857142857143,0.085183541999992,164
gini,1,sqrt,5,100,50,0.7142857142857143,0.09404008408634044,164
gini,1,sqrt,5,100,75,0.7047619047619047,0.09233675918888243,643
gini,1,sqrt,5,100,100,0.7047619047619047,0.08597842897746565,643
gini,1,sqrt,10,2,1,0.5095238095238095,0.03563483225498992,3185
gini,1,sqrt,10,2,5,0.6952380952380952,0.09571310115353229,1065
gini,1,sqrt,10,2,10,0.680952380952381,0.10389249632986393,1729
gini,1,sqrt,10,2,25,0.7095238095238096,0.07882354932022309,278
gini,1,sqrt,10,2,50,0.7095238095238096,0.08702698515474794,278
gini,1,sqrt,10,2,75,0.7047619047619047,0.08857654875113463,643
gini,1,sqrt,10,2,100,0.7,0.08984743935292001,884
gini,1,sqrt,10,5,1,0.5095238095238095,0.03563483225498992,3185
gini,1,sqrt,10,5,5,0.6952380952380952,0.09571310115353229,1065
gini,1,sqrt,10,5,10,0.680952380952381,0.10389249632986393,1729
gini,1,sqrt,10,5,25,0.7095238095238096,0.07882354932022309,278
gini,1,sqrt,10,5,50,0.7095238095238096,0.08702698515474794,278
gini,1,sqrt,10,5,75,0.7047619047619047,0.08857654875113463,643
gini,1,sqrt,10,5,100,0.7,0.08984743935292001,884
gini,1,sqrt,10,10,1,0.5095238095238095,0.03563483225498992,3185
gini,1,sqrt,10,10,5,0.6952380952380952,0.09571310115353229,1065
gini,1,sqrt,10,10,10,0.680952380952381,0.10389249632986393,1729
gini,1,sqrt,10,10,25,0.7095238095238096,0.07882354932022309,278
gini,1,sqrt,10,10,50,0.7095238095238096,0.08702698515474794,278
gini,1,sqrt,10,10,75,0.7047619047619047,0.08857654875113463,643
gini,1,sqrt,10,10,100,0.7,0.08984743935292001,884
gini,1,sqrt,10,100,1,0.5095238095238095,0.03563483225498992,3185
gini,1,sqrt,10,100,5,0.6952380952380952,0.09571310115353229,1065
gini,1,sqrt,10,100,10,0.680952380952381,0.10389249632986393,1729
gini,1,sqrt,10,100,25,0.7095238095238096,0.07882354932022309,278
gini,1,sqrt,10,100,50,0.7095238095238096,0.08702698515474794,278
gini,1,sqrt,10,100,75,0.7095238095238096,0.08702698515474794,278
gini,1,sqrt,10,100,100,0.6952380952380952,0.0883201761475781,1065
gini,1,sqrt,50,2,1,0.49523809523809526,0.04364357804719846,3969
gini,1,sqrt,50,2,5,0.680952380952381,0.061352851079643445,1729
gini,1,sqrt,50,2,10,0.6619047619047619,0.07882354932022308,2438
gini,1,sqrt,50,2,25,0.6571428571428571,0.08857654875113463,2566
gini,1,sqrt,50,2,50,0.6476190476190476,0.04616837959444123,2657
gini,1,sqrt,50,2,75,0.6476190476190476,0.04616837959444123,2657
gini,1,sqrt,50,2,100,0.6666666666666666,0.0656383273909058,2311
gini,1,sqrt,50,5,1,0.49523809523809526,0.04364357804719846,3969
gini,1,sqrt,50,5,5,0.680952380952381,0.061352851079643445,1729
gini,1,sqrt,50,5,10,0.6619047619047619,0.07882354932022308,2438
gini,1,sqrt,50,5,25,0.6571428571428571,0.08857654875113463,2566
gini,1,sqrt,50,5,50,0.6476190476190476,0.04616837959444123,2657
gini,1,sqrt,50,5,75,0.6476190476190476,0.04616837959444123,2657
gini,1,sqrt,50,5,100,0.6666666666666666,0.0656383273909058,2311
gini,1,sqrt,50,10,1,0.49523809523809526,0.04364357804719846,3969
gini,1,sqrt,50,10,5,0.680952380952381,0.061352851079643445,1729
gini,1,sqrt,50,10,10,0.6619047619047619,0.07882354932022308,2438
gini,1,sqrt,50,10,25,0.6571428571428571,0.08857654875113463,2566
gini,1,sqrt,50,10,50,0.6476190476190476,0.04616837959444123,2657
gini,1,sqrt,50,10,75,0.6476190476190476,0.04616837959444123,2657
gini,1,sqrt,50,10,100,0.6666666666666666,0.0656383273909058,2311
gini,1,sqrt,50,100,1,0.49523809523809526,0.04364357804719846,3969
gini,1,sqrt,50,100,5,0.680952380952381,0.061352851079643445,1729
gini,1,sqrt,50,100,10,0.6619047619047619,0.07882354932022308,2438
gini,1,sqrt,50,100,25,0.6571428571428571,0.08857654875113463,2566
gini,1,sqrt,50,100,50,0.6476190476190476,0.04616837959444123,2657
gini,1,sqrt,50,100,75,0.6476190476190476,0.04616837959444123,2657
gini,1,sqrt,50,100,100,0.6666666666666666,0.0656383273909058,2311
gini,1,sqrt,100,2,1,0.5,0.0,3297
gini,1,sqrt,100,2,5,0.5,0.0,3297
gini,1,sqrt,100,2,10,0.5,0.0,3297
gini,1,sqrt,100,2,25,0.5,0.0,3297
gini,1,sqrt,100,2,50,0.5,0.0,3297
gini,1,sqrt,100,2,75,0.5,0.0,3297
gini,1,sqrt,100,2,100,0.5,0.0,3297
gini,1,sqrt,100,5,1,0.5,0.0,3297
gini,1,sqrt,100,5,5,0.5,0.0,3297
gini,1,sqrt,100,5,10,0.5,0.0,3297
gini,1,sqrt,100,5,25,0.5,0.0,3297
gini,1,sqrt,100,5,50,0.5,0.0,3297
gini,1,sqrt,100,5,75,0.5,0.0,3297
gini,1,sqrt,100,5,100,0.5,0.0,3297
gini,1,sqrt,100,10,1,0.5,0.0,3297
gini,1,sqrt,100,10,5,0.5,0.0,3297
gini,1,sqrt,100,10,10,0.5,0.0,3297
gini,1,sqrt,100,10,25,0.5,0.0,3297
gini,1,sqrt,100,10,50,0.5,0.0,3297
gini,1,sqrt,100,10,75,0.5,0.0,3297
gini,1,sqrt,100,10,100,0.5,0.0,3297
gini,1,sqrt,100,100,1,0.5,0.0,3297
gini,1,sqrt,100,100,5,0.5,0.0,3297
gini,1,sqrt,100,100,10,0.5,0.0,3297
gini,1,sqrt,100,100,25,0.5,0.0,3297
gini,1,sqrt,100,100,50,0.5,0.0,3297
gini,1,sqrt,100,100,75,0.5,0.0,3297
gini,1,sqrt,100,100,100,0.5,0.0,3297
gini,1,log2,1,2,1,0.5095238095238095,0.03563483225498992,3185
gini,1,log2,1,2,5,0.7047619047619047,0.08728715609439694,643
gini,1,log2,1,2,10,0.6904761904761905,0.10432810619146018,1246
gini,1,log2,1,2,25,0.7142857142857143,0.085183541999992,164
gini,1,log2,1,2,50,0.7142857142857143,0.09404008408634044,164
gini,1,log2,1,2,75,0.7095238095238094,0.09571310115353227,414
gini,1,log2,1,2,100,0.7095238095238094,0.0883201761475781,414
gini,1,log2,1,5,1,0.5095238095238095,0.03563483225498992,3185
gini,1,log2,1,5,5,0.7047619047619047,0.08728715609439694,643
gini,1,log2,1,5,10,0.6904761904761905,0.10432810619146018,1246
gini,1,log2,1,5,25,0.7142857142857143,0.085183541999992,164
gini,1,log2,1,5,50,0.7142857142857143,0.09404008408634044,164
gini,1,log2,1,5,75,0.7095238095238094,0.09571310115353227,414
gini,1,log2,1,5,100,0.7095238095238094,0.0883201761475781,414
gini,1,log2,1,10,1,0.5095238095238095,0.03563483225498992,3185
gini,1,log2,1,10,5,0.7047619047619047,0.08728715609439694,643
gini,1,log2,1,10,10,0.6904761904761905,0.10432810619146018,1246
gini,1,log2,1,10,25,0.7142857142857143,0.085183541999992,164
gini,1,log2,1,10,50,0.7142857142857143,0.09404008408634044,164
gini,1,log2,1,10,75,0.7095238095238094,0.09571310115353227,414
gini,1,log2,1,10,100,0.7095238095238094,0.0883201761475781,414
gini,1,log2,1,100,1,0.5095238095238095,0.03563483225498992,3185
gini,1,log2,1,100,5,0.7047619047619047,0.08728715609439694,643
gini,1,log2,1,100,10,0.6904761904761905,0.10432810619146018,1246
gini,1,log2,1,100,25,0.7142857142857143,0.085183541999992,164
gini,1,log2,1,100,50,0.7142857142857143,0.09404008408634044,164
gini,1,log2,1,100,75,0.7095238095238094,0.09571310115353227,414
gini,1,log2,1,100,100,0.7047619047619047,0.08597842897746565,643
gini,1,log2,2,2,1,0.5095238095238095,0.03563483225498992,3185
gini,1,log2,2,2,5,0.7047619047619047,0.08728715609439694,643
gini,1,log2,2,2,10,0.6904761904761905,0.10432810619146018,1246
gini,1,log2,2,2,25,0.7142857142857143,0.085183541999992,164
gini,1,log2,2,2,50,0.7142857142857143,0.09404008408634044,164
gini,1,log2,2,2,75,0.7095238095238094,0.09571310115353227,414
gini,1,log2,2,2,100,0.7095238095238094,0.0883201761475781,414
gini,1,log2,2,5,1,0.5095238095238095,0.03563483225498992,3185
gini,1,log2,2,5,5,0.7047619047619047,0.08728715609439694,643
gini,1,log2,2,5,10,0.6904761904761905,0.10432810619146018,1246
gini,1,log2,2,5,25,0.7142857142857143,0.085183541999992,164
gini,1,log2,2,5,50,0.7142857142857143,0.09404008408634044,164
gini,1,log2,2,5,75,0.7095238095238094,0.09571310115353227,414
gini,1,log2,2,5,100,0.7095238095238094,0.0883201761475781,414
gini,1,log2,2,10,1,0.5095238095238095,0.03563483225498992,3185
gini,1,log2,2,10,5,0.7047619047619047,0.08728715609439694,643
gini,1,log2,2,10,10,0.6904761904761905,0.10432810619146018,1246
gini,1,log2,2,10,25,0.7142857142857143,0.085183541999992,164
gini,1,log2,2,10,50,0.7142857142857143,0.09404008408634044,164
gini,1,log2,2,10,75,0.7095238095238094,0.09571310115353227,414
gini,1,log2,2,10,100,0.7095238095238094,0.0883201761475781,414
gini,1,log2,2,100,1,0.5095238095238095,0.03563483225498992,3185
gini,1,log2,2,100,5,0.7047619047619047,0.08728715609439694,643
gini,1,log2,2,100,10,0.6904761904761905,0.10432810619146018,1246
gini,1,log2,2,100,25,0.7142857142857143,0.085183541999992,164
gini,1,log2,2,100,50,0.7142857142857143,0.09404008408634044,164
gini,1,log2,2,100,75,0.7095238095238094,0.09571310115353227,414
gini,1,log2,2,100,100,0.7047619047619047,0.08597842897746565,643
gini,1,log2,5,2,1,0.5095238095238095,0.03563483225498992,3185
gini,1,log2,5,2,5,0.7047619047619047,0.08728715609439694,643
gini,1,log2,5,2,10,0.6904761904761905,0.10432810619146018,1246
gini,1,log2,5,2,25,0.7142857142857143,0.085183541999992,164
gini,1,log2,5,2,50,0.7142857142857143,0.09404008408634044,164
gini,1,log2,5,2,75,0.7095238095238094,0.09571310115353227,414
gini,1,log2,5,2,100,0.7095238095238094,0.0883201761475781,414
gini,1,log2,5,5,1,0.5095238095238095,0.03563483225498992,3185
gini,1,log2,5,5,5,0.7047619047619047,0.08728715609439694,643
gini,1,log2,5,5,10,0.6904761904761905,0.10432810619146018,1246
gini,1,log2,5,5,25,0.7142857142857143,0.085183541999992,164
gini,1,log2,5,5,50,0.7142857142857143,0.09404008408634044,164
gini,1,log2,5,5,75,0.7095238095238094,0.09571310115353227,414
gini,1,log2,5,5,100,0.7095238095238094,0.0883201761475781,414
gini,1,log2,5,10,1,0.5095238095238095,0.03563483225498992,3185
gini,1,log2,5,10,5,0.7047619047619047,0.08728715609439694,643
gini,1,log2,5,10,10,0.6904761904761905,0.10432810619146018,1246
gini,1,log2,5,10,25,0.7142857142857143,0.085183541999992,164
gini,1,log2,5,10,50,0.7142857142857143,0.09404008408634044,164
gini,1,log2,5,10,75,0.7095238095238094,0.09571310115353227,414
gini,1,log2,5,10,100,0.7095238095238094,0.0883201761475781,414
gini,1,log2,5,100,1,0.5095238095238095,0.03563483225498992,3185
gini,1,log2,5,100,5,0.7047619047619047,0.08728715609439694,643
gini,1,log2,5,100,10,0.6904761904761905,0.10432810619146018,1246
gini,1,log2,5,100,25,0.7142857142857143,0.085183541999992,164
gini,1,log2,5,100,50,0.7142857142857143,0.09404008408634044,164
gini,1,log2,5,100,75,0.7047619047619047,0.09233675918888243,643
gini,1,log2,5,100,100,0.7047619047619047,0.08597842897746565,643
gini,1,log2,10,2,1,0.5095238095238095,0.03563483225498992,3185
gini,1,log2,10,2,5,0.6952380952380952,0.09571310115353229,1065
gini,1,log2,10,2,10,0.680952380952381,0.10389249632986393,1729
gini,1,log2,10,2,25,0.7095238095238096,0.07882354932022309,278
gini,1,log2,10,2,50,0.7095238095238096,0.08702698515474794,278
gini,1,log2,10,2,75,0.7047619047619047,0.08857654875113463,643
gini,1,log2,10,2,100,0.7,0.08984743935292001,884
gini,1,log2,10,5,1,0.5095238095238095,0.03563483225498992,3185
gini,1,log2,10,5,5,0.6952380952380952,0.09571310115353229,1065
gini,1,log2,10,5,10,0.680952380952381,0.10389249632986393,1729
gini,1,log2,10,5,25,0.7095238095238096,0.07882354932022309,278
gini,1,log2,10,5,50,0.7095238095238096,0.08702698515474794,278
gini,1,log2,10,5,75,0.7047619047619047,0.08857654875113463,643
gini,1,log2,10,5,100,0.7,0.08984743935292001,884
gini,1,log2,10,10,1,0.5095238095238095,0.03563483225498992,3185
gini,1,log2,10,10,5,0.6952380952380952,0.09571310115353229,1065
gini,1,log2,10,10,10,0.680952380952381,0.10389249632986393,1729
gini,1,log2,10,10,25,0.7095238095238096,0.07882354932022309,278
gini,1,log2,10,10,50,0.7095238095238096,0.08702698515474794,278
gini,1,log2,10,10,75,0.7047619047619047,0.08857654875113463,643
gini,1,log2,10,10,100,0.7,0.08984743935292001,884
gini,1,log2,10,100,1,0.5095238095238095,0.03563483225498992,3185
gini,1,log2,10,100,5,0.6952380952380952,0.09571310115353229,1065
gini,1,log2,10,100,10,0.680952380952381,0.10389249632986393,1729
gini,1,log2,10,100,25,0.7095238095238096,0.07882354932022309,278
gini,1,log2,10,100,50,0.7095238095238096,0.08702698515474794,278
gini,1,log2,10,100,75,0.7095238095238096,0.08702698515474794,278
gini,1,log2,10,100,100,0.6952380952380952,0.0883201761475781,1065
gini,1,log2,50,2,1,0.49523809523809526,0.04364357804719846,3969
gini,1,log2,50,2,5,0.680952380952381,0.061352851079643445,1729
gini,1,log2,50,2,10,0.6619047619047619,0.07882354932022308,2438
gini,1,log2,50,2,25,0.6571428571428571,0.08857654875113463,2566
gini,1,log2,50,2,50,0.6476190476190476,0.04616837959444123,2657
gini,1,log2,50,2,75,0.6476190476190476,0.04616837959444123,2657
gini,1,log2,50,2,100,0.6666666666666666,0.0656383273909058,2311
gini,1,log2,50,5,1,0.49523809523809526,0.04364357804719846,3969
gini,1,log2,50,5,5,0.680952380952381,0.061352851079643445,1729
gini,1,log2,50,5,10,0.6619047619047619,0.07882354932022308,2438
gini,1,log2,50,5,25,0.6571428571428571,0.08857654875113463,2566
gini,1,log2,50,5,50,0.6476190476190476,0.04616837959444123,2657
gini,1,log2,50,5,75,0.6476190476190476,0.04616837959444123,2657
gini,1,log2,50,5,100,0.6666666666666666,0.0656383273909058,2311
gini,1,log2,50,10,1,0.49523809523809526,0.04364357804719846,3969
gini,1,log2,50,10,5,0.680952380952381,0.061352851079643445,1729
gini,1,log2,50,10,10,0.6619047619047619,0.07882354932022308,2438
gini,1,log2,50,10,25,0.6571428571428571,0.08857654875113463,2566
gini,1,log2,50,10,50,0.6476190476190476,0.04616837959444123,2657
gini,1,log2,50,10,75,0.6476190476190476,0.04616837959444123,2657
gini,1,log2,50,10,100,0.6666666666666666,0.0656383273909058,2311
gini,1,log2,50,100,1,0.49523809523809526,0.04364357804719846,3969
gini,1,log2,50,100,5,0.680952380952381,0.061352851079643445,1729
gini,1,log2,50,100,10,0.6619047619047619,0.07882354932022308,2438
gini,1,log2,50,100,25,0.6571428571428571,0.08857654875113463,2566
gini,1,log2,50,100,50,0.6476190476190476,0.04616837959444123,2657
gini,1,log2,50,100,75,0.6476190476190476,0.04616837959444123,2657
gini,1,log2,50,100,100,0.6666666666666666,0.0656383273909058,2311
gini,1,log2,100,2,1,0.5,0.0,3297
gini,1,log2,100,2,5,0.5,0.0,3297
gini,1,log2,100,2,10,0.5,0.0,3297
gini,1,log2,100,2,25,0.5,0.0,3297
gini,1,log2,100,2,50,0.5,0.0,3297
gini,1,log2,100,2,75,0.5,0.0,3297
gini,1,log2,100,2,100,0.5,0.0,3297
gini,1,log2,100,5,1,0.5,0.0,3297
gini,1,log2,100,5,5,0.5,0.0,3297
gini,1,log2,100,5,10,0.5,0.0,3297
gini,1,log2,100,5,25,0.5,0.0,3297
gini,1,log2,100,5,50,0.5,0.0,3297
gini,1,log2,100,5,75,0.5,0.0,3297
gini,1,log2,100,5,100,0.5,0.0,3297
gini,1,log2,100,10,1,0.5,0.0,3297
gini,1,log2,100,10,5,0.5,0.0,3297
gini,1,log2,100,10,10,0.5,0.0,3297
gini,1,log2,100,10,25,0.5,0.0,3297
gini,1,log2,100,10,50,0.5,0.0,3297
gini,1,log2,100,10,75,0.5,0.0,3297
gini,1,log2,100,10,100,0.5,0.0,3297
gini,1,log2,100,100,1,0.5,0.0,3297
gini,1,log2,100,100,5,0.5,0.0,3297
gini,1,log2,100,100,10,0.5,0.0,3297
gini,1,log2,100,100,25,0.5,0.0,3297
gini,1,log2,100,100,50,0.5,0.0,3297
gini,1,log2,100,100,75,0.5,0.0,3297
gini,1,log2,100,100,100,0.5,0.0,3297
gini,1,,1,2,1,0.6333333333333334,0.11818736805705575,2826
gini,1,,1,2,5,0.6857142857142857,0.09331389496316866,1481
gini,1,,1,2,10,0.6714285714285715,0.0920908552657796,2161
gini,1,,1,2,25,0.6904761904761905,0.10858813572372744,1246
gini,1,,1,2,50,0.680952380952381,0.09828460685976331,1729
gini,1,,1,2,75,0.6904761904761905,0.10213147899774863,1246
gini,1,,1,2,100,0.680952380952381,0.09712418121129111,1729
gini,1,,1,5,1,0.6333333333333334,0.11818736805705575,2826
gini,1,,1,5,5,0.6857142857142857,0.09331389496316866,1481
gini,1,,1,5,10,0.6714285714285715,0.0920908552657796,2161
gini,1,,1,5,25,0.6904761904761905,0.10858813572372744,1246
gini,1,,1,5,50,0.680952380952381,0.09828460685976331,1729
gini,1,,1,5,75,0.6904761904761905,0.10213147899774863,1246
gini,1,,1,5,100,0.680952380952381,0.09712418121129111,1729
gini,1,,1,10,1,0.6333333333333334,0.11818736805705575,2826
gini,1,,1,10,5,0.6857142857142857,0.09331389496316866,1481
gini,1,,1,10,10,0.6714285714285715,0.0920908552657796,2161
gini,1,,1,10,25,0.6904761904761905,0.10858813572372744,1246
gini,1,,1,10,50,0.680952380952381,0.09828460685976331,1729
gini,1,,1,10,75,0.6904761904761905,0.10213147899774863,1246
gini,1,,1,10,100,0.680952380952381,0.09712418121129111,1729
gini,1,,1,100,1,0.6333333333333334,0.11818736805705575,2826
gini,1,,1,100,5,0.6857142857142857,0.09331389496316866,1481
gini,1,,1,100,10,0.6714285714285715,0.0920908552657796,2161
gini,1,,1,100,25,0.6904761904761905,0.10858813572372744,1246
gini,1,,1,100,50,0.680952380952381,0.09828460685976331,1729
gini,1,,1,100,75,0.6904761904761905,0.10213147899774863,1246
gini,1,,1,100,100,0.6761904761904762,0.09594972228385658,1988
gini,1,,2,2,1,0.6333333333333334,0.11818736805705575,2826
gini,1,,2,2,5,0.6857142857142857,0.09331389496316866,1481
gini,1,,2,2,10,0.6714285714285715,0.0920908552657796,2161
gini,1,,2,2,25,0.6904761904761905,0.10858813572372744,1246
gini,1,,2,2,50,0.680952380952381,0.09828460685976331,1729
gini,1,,2,2,75,0.6904761904761905,0.10213147899774863,1246
gini,1,,2,2,100,0.680952380952381,0.09712418121129111,1729
gini,1,,2,5,1,0.6333333333333334,0.11818736805705575,2826
gini,1,,2,5,5,0.6857142857142857,0.09331389496316866,1481
gini,1,,2,5,10,0.6714285714285715,0.0920908552657796,2161
gini,1,,2,5,25,0.6904761904761905,0.10858813572372744,1246
gini,1,,2,5,50,0.680952380952381,0.09828460685976331,1729
gini,1,,2,5,75,0.6904761904761905,0.10213147899774863,1246
gini,1,,2,5,100,0.680952380952381,0.09712418121129111,1729
gini,1,,2,10,1,0.6333333333333334,0.11818736805705575,2826
gini,1,,2,10,5,0.6857142857142857,0.09331389496316866,1481
gini,1,,2,10,10,0.6714285714285715,0.0920908552657796,2161
gini,1,,2,10,25,0.6904761904761905,0.10858813572372744,1246
gini,1,,2,10,50,0.680952380952381,0.09828460685976331,1729
gini,1,,2,10,75,0.6904761904761905,0.10213147899774863,1246
gini,1,,2,10,100,0.680952380952381,0.09712418121129111,1729
gini,1,,2,100,1,0.6333333333333334,0.11818736805705575,2826
gini,1,,2,100,5,0.6857142857142857,0.09331389496316866,1481
gini,1,,2,100,10,0.6714285714285715,0.0920908552657796,2161
gini,1,,2,100,25,0.6904761904761905,0.10858813572372744,1246
gini,1,,2,100,50,0.680952380952381,0.09828460685976331,1729
gini,1,,2,100,75,0.6904761904761905,0.10213147899774863,1246
gini,1,,2,100,100,0.6761904761904762,0.09594972228385658,1988
gini,1,,5,2,1,0.6333333333333334,0.11818736805705575,2826
gini,1,,5,2,5,0.6857142857142857,0.09331389496316866,1481
gini,1,,5,2,10,0.6714285714285715,0.0920908552657796,2161
gini,1,,5,2,25,0.6904761904761905,0.10858813572372744,1246
gini,1,,5,2,50,0.680952380952381,0.09828460685976331,1729
gini,1,,5,2,75,0.6904761904761905,0.10213147899774863,1246
gini,1,,5,2,100,0.680952380952381,0.09712418121129111,1729
gini,1,,5,5,1,0.6333333333333334,0.11818736805705575,2826
gini,1,,5,5,5,0.6857142857142857,0.09331389496316866,1481
gini,1,,5,5,10,0.6714285714285715,0.0920908552657796,2161
gini,1,,5,5,25,0.6904761904761905,0.10858813572372744,1246
gini,1,,5,5,50,0.680952380952381,0.09828460685976331,1729
gini,1,,5,5,75,0.6904761904761905,0.10213147899774863,1246
gini,1,,5,5,100,0.680952380952381,0.09712418121129111,1729
gini,1,,5,10,1,0.6333333333333334,0.11818736805705575,2826
gini,1,,5,10,5,0.6857142857142857,0.09331389496316866,1481
gini,1,,5,10,10,0.6714285714285715,0.0920908552657796,2161
gini,1,,5,10,25,0.6904761904761905,0.10858813572372744,1246
gini,1,,5,10,50,0.680952380952381,0.09828460685976331,1729
gini,1,,5,10,75,0.6904761904761905,0.10213147899774863,1246
gini,1,,5,10,100,0.680952380952381,0.09712418121129111,1729
gini,1,,5,100,1,0.6333333333333334,0.11818736805705575,2826
